Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G19 Donchian Volume Surge [Webhook] BINANCEUSDT.P 2026-04-08,LDO,4h,1334013.95,13340.14,133.4014,313.05,0.3891,83.68,83.68,7.8,2.47,5426.16,3566.58,1.52,97.5,-19676.06,-1.63,-196161.98,-14.6,0,0,0,0,HIGH_WR,STRONG,TIER_1,157,10000,1344013.95,1262_days,13-10-2022,28-03-2026,0.06%,337,tv_backtester_jan_2024
G19 Donchian Volume Surge [Webhook] BINANCEUSDT.P 2026-04-08,OP,4h,1206857.28,12068.57,120.6857,263.44,0.3539,79.84,79.84,5.99,2.37,4813.28,3183.43,1.51,101.3,-90875.04,-6.95,-241941.04,-18.5,-162.71,-1.63,-90875.04,-6.95,,PROMISING,TIER_2,158,10000,1216857.28,1359_days,07-07-2022,27-03-2026,0.06%,377,tv_backtester_jan_2024
G6 Triple EMA Volume Trend [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,1036755.67,10367.56,103.6756,108.96,0.202,29.49,29.49,1.09,0.11,176781.56,67643.47,2.61,37.1,-2026415.76,-85.21,-11161171.73,-469.31,0,0,-1331433.54,-55.99,,WEAK,IGNORE,159,10000,1046755.67,2305_days,15-12-2019,08-04-2026,0.06%,234,tv_backtester_jan_2024
G9 ATR Breakout Momentum [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,916084.48,9160.84,91.6084,136.45,0.2359,34.15,34.15,1.18,0.1,435223.03,191742.15,2.27,7.8,-2919336.12,-75.92,-5177037.92,-134.63,0,0,-2919336.12,-75.92,,WEAK,IGNORE,160,10000,926084.48,1922_days,01-01-2021,07-04-2026,0.06%,41,tv_backtester_jan_2024
G24 Donchian Pure HighTP [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,791163.97,7911.64,79.1164,366.91,0.4228,75.26,75.26,5.36,2.33,3330.33,1888.46,1.76,136.4,-139486.47,-14.83,-181292.54,-19.27,0,0,-139486.47,-14.83,,PROMISING,TIER_2,161,10000,801163.97,1039_days,28-05-2023,02-04-2026,0.06%,388,tv_backtester_jan_2024
G7 ROC MACD Momentum [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,789766.24,7897.66,78.9766,99.82,0.1897,37.62,37.62,1.04,0.11,63636.06,37011.41,1.72,146.1,-2706149.69,-104.84,-21355583.48,-827.34,-134922.83,-1349.23,-1781460.62,-69.02,,WEAK,IGNORE,162,10000,799766.24,2312_days,08-12-2019,08-04-2026,0.06%,925,tv_backtester_jan_2024
G8 TRIX Donchian Trend [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,635606.11,6356.06,63.5606,89.27,0.1748,44.49,44.49,1.09,0.15,72884.01,53740.82,1.36,37.5,-1079104.54,-88.07,-7308751.28,-596.52,-20113.19,-201.13,-579620.3,-47.31,,WEAK,IGNORE,163,10000,645606.11,2386_days,20-09-2019,03-04-2026,0.06%,245,tv_backtester_jan_2024
G5 LinReg Channel Breakout [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,627535.48,6275.35,62.7535,88.55,0.1738,39.17,39.17,1.29,0.32,59027.19,29407.43,2.01,18.3,-237335.48,-5059.19,-2146742.58,-293.28,-242644.3,-2426.44,-94436.62,-12.9,,WEAK,IGNORE,164,10000,637535.48,2393_days,19-09-2019,08-04-2026,0.06%,120,tv_backtester_jan_2024
G10 Elder Impulse Trend [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,392398.15,3923.98,39.2398,79.13,0.1597,35.8,35.8,1.02,0.06,68503.85,37365.61,1.83,115,-2399504.51,-92.4,-17487107.11,-673.38,-11545.98,-115.46,-2194502.84,-84.5,,WEAK,IGNORE,165,10000,402398.15,2315_days,05-12-2019,07-04-2026,0.06%,729,tv_backtester_jan_2024
G4 Chaikin MF Trend [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,243181.9,2431.82,24.3182,80,0.1611,33.23,33.23,1.01,0.01,400782.15,198383.96,2.02,60.2,-7036376.68,-96.53,-43842854.59,-601.45,-550174.03,-5501.74,-7036376.68,-96.53,,WEAK,IGNORE,166,10000,253181.9,2008_days,07-10-2020,08-04-2026,0.06%,331,tv_backtester_jan_2024
G6 Triple EMA Volume Trend [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,164376.31,1643.76,16.4376,54.73,0.1196,30.96,30.96,1.04,0.04,60827.88,26284.16,2.31,36.5,-617570.96,-139.59,-4336886.82,-935.2,-219380.88,-2193.81,-289360.37,-62.4,,WEAK,IGNORE,167,10000,174376.31,2392_days,19-09-2019,08-04-2026,0.06%,239,tv_backtester_jan_2024
G10 Elder Impulse Trend [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,125735.99,1257.36,12.5736,60.11,0.1289,39.54,39.54,1.01,0.03,57059.9,37001.96,1.54,118.2,-1595937.37,-136.2,-14652777.46,-1250.52,-434203.34,-4342.03,-1035998.04,-88.42,,WEAK,IGNORE,168,10000,135735.99,2024_days,21-09-2020,08-04-2026,0.06%,655,tv_backtester_jan_2024
G7 ROC MACD Momentum [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,69490.85,694.91,6.9491,37.22,0.0867,37.84,37.84,1.01,0.02,37575.39,22746.09,1.65,135.5,-1186284.85,-107.19,-12555840.54,-1134.5,-89560.1,-895.6,-1027233.9,-92.82,,WEAK,IGNORE,169,10000,79490.85,2393_days,19-09-2019,08-04-2026,0.06%,888,tv_backtester_jan_2024
G9 ATR Breakout Momentum [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,53038.35,530.38,5.3038,35.59,0.0834,38.46,38.46,1.03,0.05,112855.64,68324.85,1.65,6.4,-797423.98,-143.73,-1639796.3,-295.57,-252635.79,-2526.36,-491749.84,-88.64,,WEAK,IGNORE,170,10000,63038.35,2209_days,07-02-2020,25-02-2026,0.06%,39,tv_backtester_jan_2024
G9 ATR Breakout Momentum [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,-52954.26,-529.54,-5.2954,-100,-100,43.24,43.24,0.96,-0.04,71019.02,56631.36,1.25,7,-376164.05,-12570.23,-1189258.55,-7855.99,-383171.55,-3831.72,-58092.5,-383.75,,UNPROFITABLE,DO_NOT_USE,171,10000,-42954.26,1936_days,07-11-2020,25-02-2026,0.06%,37,tv_backtester_jan_2024
G7 ROC MACD Momentum [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,-311784.57,-3117.85,-31.1785,-100,-100,39.41,39.41,0.98,-0.05,54200.98,35838.74,1.51,159.4,-2050635.52,-117.26,-19173726.51,-1096.36,-416688.56,-4166.89,-2050635.52,-117.26,,UNPROFITABLE,DO_NOT_USE,172,10000,-301784.57,2023_days,22-09-2020,08-04-2026,0.06%,883,tv_backtester_jan_2024
G4 Chaikin MF Trend [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,-333308.68,-3333.09,-33.3309,-100,-100,32.05,32.05,0.96,-0.09,60004.22,29481.81,2.04,63.2,-1386998.12,-134.19,-8313870.52,-804.35,-363384.53,-3633.85,-1356922.27,-131.28,,UNPROFITABLE,DO_NOT_USE,173,10000,-323308.68,2399_days,13-09-2019,08-04-2026,0.06%,415,tv_backtester_jan_2024
G1 Keltner ADX Breakout [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-370627.94,-3706.28,-37.0628,-100,-100,37.3,37.3,0.97,-0.05,124898.62,76708.51,1.63,39.4,-4121591.24,-110.04,-11736402.77,-313.35,-386150.57,-3861.51,-4106068.61,-109.63,,UNPROFITABLE,DO_NOT_USE,174,10000,-360627.94,2262_days,27-01-2020,08-04-2026,0.06%,244,tv_backtester_jan_2024
G10 Elder Impulse Trend [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,-400105.27,-4001.05,-40.0105,-100,-100,37.25,37.25,0.94,-0.18,22863.74,14408.9,1.59,116.7,-817013.77,-221.45,-6916271.94,-1874.61,-458068.81,-4580.69,-759050.23,-205.74,,UNPROFITABLE,DO_NOT_USE,175,10000,-390105.27,2395_days,16-09-2019,07-04-2026,0.06%,765,tv_backtester_jan_2024
G3 VWAP RSI Mean Revert [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,-415014.94,-4150.15,-41.5015,-100,-100,54.79,54.79,0.79,-0.34,19193.47,29552.92,0.65,27,-573535.79,-631.33,-1950492.49,-2147.05,-492690.46,-4926.9,-495860.27,-545.83,,UNPROFITABLE,DO_NOT_USE,176,10000,-405014.94,1975_days,12-10-2020,11-03-2026,0.06%,146,tv_backtester_jan_2024
G2 OBV EMA Trend [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,-453984.44,-4539.84,-45.3984,-100,-100,27.65,27.65,0.89,-0.22,45628.1,19574.82,2.33,44.7,-1120516.16,-191.39,-4149860.91,-708.83,-545066.41,-5450.66,-1029434.19,-175.84,,UNPROFITABLE,DO_NOT_USE,177,10000,-443984.44,2395_days,16-09-2019,08-04-2026,0.06%,293,tv_backtester_jan_2024
G6 Triple EMA Volume Trend [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-463172.22,-4631.72,-46.3172,-100,-100,29.55,29.55,0.96,-0.05,165244.93,72284.47,2.29,35.6,-4683730.32,-111.58,-11204092.69,-266.9,-495925.07,-4959.25,-4650977.47,-110.8,,UNPROFITABLE,DO_NOT_USE,178,10000,-453172.22,2256_days,03-02-2020,08-04-2026,0.06%,220,tv_backtester_jan_2024
G5 LinReg Channel Breakout [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-475210.45,-4752.1,-47.521,-100,-100,44.23,44.23,0.81,-0.27,44744.52,43680.32,1.02,16.9,-664508.87,-377.08,-2533458.42,-1437.62,-498282.58,-4982.83,-641436.74,-363.98,,UNPROFITABLE,DO_NOT_USE,179,10000,-465210.45,2251_days,07-02-2020,08-04-2026,0.06%,104,tv_backtester_jan_2024
G4 Chaikin MF Trend [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,-479489.83,-4794.9,-47.949,-100,-100,36.34,36.34,0.94,-0.12,67448.35,40758.21,1.65,60,-1413251.15,-149.75,-8640740.61,-915.56,-846211.66,-8462.12,-1413251.15,-149.75,,UNPROFITABLE,DO_NOT_USE,180,10000,-469489.83,2028_days,17-09-2020,08-04-2026,0.06%,333,tv_backtester_jan_2024
G2 OBV EMA Trend [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,-489908.45,-4899.08,-48.9908,-100,-100,31.11,31.11,0.9,-0.17,62866.52,31552.03,1.99,40.7,-1367683.65,-154.06,-4890565.05,-550.88,-736937.74,-7369.38,-1367683.65,-154.06,,UNPROFITABLE,DO_NOT_USE,181,10000,-479908.45,2017_days,29-09-2020,08-04-2026,0.06%,225,tv_backtester_jan_2024
G7 ROC MACD Momentum [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,-497002.46,-4970.02,-49.7002,-100,-100,38.22,38.22,0.97,-0.07,50551.34,32178.66,1.57,160.9,-2644658.84,-124.46,-17633907.51,-829.84,-529693.92,-5296.94,-2611967.38,-122.92,,UNPROFITABLE,DO_NOT_USE,182,10000,-487002.46,2014_days,01-10-2020,08-04-2026,0.06%,887,tv_backtester_jan_2024
G3 VWAP RSI Mean Revert [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,-592761.8,-5927.62,-59.2762,-100,-100,60,60,0.73,-0.32,17787.74,36560.97,0.49,27.8,-906303.13,-376.02,-2193657.95,-910.15,-675281,-6752.81,-823783.93,-341.79,,UNPROFITABLE,DO_NOT_USE,183,10000,-582761.8,1972_days,02-10-2020,26-02-2026,0.06%,150,tv_backtester_jan_2024
G10 Elder Impulse Trend [Webhook] BINANCEUSDT.P 2026-04-08,AVAX,4h,-599537.37,-5995.37,-59.9537,-100,-100,39.85,39.85,0.93,-0.17,29592.65,21093.74,1.4,121.4,-1949898.3,-144.17,-8500775.38,-628.51,-607368.71,-6073.69,-1942066.96,-143.59,,UNPROFITABLE,DO_NOT_USE,184,10000,-589537.37,2015_days,01-10-2020,08-04-2026,0.06%,670,tv_backtester_jan_2024
G3 VWAP RSI Mean Revert [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-688455.01,-6884.55,-68.8455,-100,-100,48.94,48.94,0.55,-0.74,12070.67,21129.6,0.57,23,-753053.85,-1903.61,-1521331.35,-3845.7,-723494.57,-7234.95,-718014.29,-1815.03,,UNPROFITABLE,DO_NOT_USE,185,10000,-678455.01,2237_days,30-01-2020,17-03-2026,0.06%,141,tv_backtester_jan_2024
G4 Chaikin MF Trend [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-762632.54,-7626.33,-76.2633,-100,-100,35.93,35.93,0.96,-0.07,139849.91,81753.35,1.71,58,-4323012.79,-121.08,-18803270.9,-526.65,-762685.07,-7626.85,-4322960.26,-121.08,,UNPROFITABLE,DO_NOT_USE,186,10000,-752632.54,2260_days,27-01-2020,05-04-2026,0.06%,359,tv_backtester_jan_2024
G3 VWAP RSI Mean Revert [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,-827209.31,-8272.09,-82.7209,-100,-100,50.49,50.49,0.37,-0.91,4759.46,13043.9,0.36,32.3,-856360.75,-2938.82,-1317433.76,-4521.11,-837221.13,-8372.21,-846348.93,-2904.46,,UNPROFITABLE,DO_NOT_USE,187,10000,-817209.31,2304_days,16-12-2019,08-04-2026,0.06%,204,tv_backtester_jan_2024
G10 Elder Impulse Trend [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-838337.57,-8383.38,-83.8338,-100,-100,37.41,37.41,0.93,-0.18,38144.82,24626.44,1.55,118.5,-2408713.33,-152.41,-11328164.11,-716.8,-838337.57,-8383.38,-2408713.33,-152.41,,UNPROFITABLE,DO_NOT_USE,188,10000,-828337.57,2266_days,23-01-2020,08-04-2026,0.06%,735,tv_backtester_jan_2024
G3 VWAP RSI Mean Revert [Webhook] BINANCEUSDT.P 2026-04-08,BTC,4h,-855740.89,-8557.41,-85.5741,-100,-100,44.44,44.44,0.27,-0.97,3222.71,9709.34,0.33,33,-866712.67,-5358.29,-1165121.33,-7203.15,-860537.51,-8605.38,-861916.05,-5328.64,,UNPROFITABLE,DO_NOT_USE,189,10000,-845740.89,2388_days,24-09-2019,08-04-2026,0.06%,216,tv_backtester_jan_2024
G8 TRIX Donchian Trend [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-867543.83,-8675.44,-86.7544,-100,-100,37.39,37.39,0.8,-0.34,40620.06,30496.47,1.33,36,-1180833.43,-370.03,-4239008.87,-1328.37,-871718.98,-8717.19,-1176658.28,-368.73,,UNPROFITABLE,DO_NOT_USE,190,10000,-857543.83,2253_days,06-02-2020,08-04-2026,0.06%,222,tv_backtester_jan_2024
G7 ROC MACD Momentum [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-868224.28,-8682.24,-86.8224,-100,-100,38.65,38.65,0.94,-0.16,34539.9,23164.43,1.49,162.9,-2966713.65,-140.84,-14338783.71,-680.7,-870222.6,-8702.23,-2964715.33,-140.74,,UNPROFITABLE,DO_NOT_USE,191,10000,-858224.28,2263_days,27-01-2020,08-04-2026,0.06%,1009,tv_backtester_jan_2024
G2 OBV EMA Trend [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,-981540.48,-9815.4,-98.154,-100,-100,25.17,25.17,0.78,-0.28,46959.11,20320.53,2.31,46.8,-1827157.93,-213.55,-4409555.67,-515.37,-981540.48,-9815.4,-1827157.93,-213.55,,UNPROFITABLE,DO_NOT_USE,192,10000,-971540.48,2263_days,27-01-2020,08-04-2026,0.06%,290,tv_backtester_jan_2024
